"Timestamp","ข้อใดอธิบายตัวคุณได้ดีที่สุด?","คุณดำเนินการโฆษณาหรือแคมเปญบ่อยแค่ไหน?","คุณใช้ช่องทางใดบ้าง? (เลือกได้หลายข้อ)","เป้าหมายหลักของแคมเปญของคุณคืออะไร?","เมื่อวางแผนแคมเปญ โดยปกติแล้วคุณจะตัดสินใจเลือกอะไรเป็นอันดับแรก?","คุณตัดสินใจว่าจะทดสอบอะไรต่อไปได้อย่างไร? (เลือกได้หลายข้อ)","ส่วนที่ยากที่สุดในการเลือกการทดสอบครั้งต่อไปคืออะไร?","โดยปกติแล้ว คุณรู้สึกมั่นใจแค่ไหนเมื่อเลือกสิ่งที่จะทดสอบต่อไป?","โดยปกติแล้ว สิ่งใดที่ทำให้คุณมั่นใจว่าแนวคิดแคมเปญนั้นคุ้มค่าที่จะทดสอบ?","โดยปกติแล้ว สิ่งใดที่ทำให้คุณปฏิเสธแนวคิดแคมเปญ?","หลังจากแคมเปญทำงาน คุณมักจะตรวจสอบผลลัพธ์ใดบ้าง? (เลือกได้หลายข้อ)","คุณตัดสินใจว่าแคมเปญใช้งานได้ผลได้อย่างไร?","คุณบันทึกการเรียนรู้จากแคมเปญไว้ที่ใด?","จะเกิดอะไรขึ้นหลังจากแคมเปญไม่ทำงาน?","คุณนำการเรียนรู้จากแคมเปญที่ผ่านมากลับมาใช้บ่อยแค่ไหน?","คุณเคยใช้ AI สำหรับการตลาดหรือโฆษณาหรือไม่?","หากใช่ คุณใช้ AI เพื่ออะไร? (เลือกได้หลายข้อ)","อะไรที่ทำให้คำแนะนำด้านการตลาดของ AI รู้สึกว่ามีประโยชน์?","อะไรที่ทำให้คำแนะนำด้านการตลาดของ AI รู้สึกว่าเป็นแบบทั่วไปหรือมีความเสี่ยง?","หากเครื่องมือ AI แนะนำว่า “ทดสอบสิ่งนี้ก่อน” คุณต้องเห็นอะไรบ้างก่อนจึงจะเชื่อถือได้? (เลือกได้หลายข้อ)","สิ่งนี้จะมีประโยชน์แค่ไหน? ""เครื่องมือ AI ที่ช่วยคุณเลือกการทดสอบแคมเปญที่จะดำเนินการต่อไป อธิบายเหตุผล บอกเมตริกที่คุณควรดู และช่วยให้คุณเรียนรู้จากผลลัพธ์""","ส่วนใดที่ฟังดูมีประโยชน์ที่สุด? (เลือกได้หลายข้อ)","ส่วนใดที่ฟังดูมีประโยชน์น้อยที่สุดหรือไม่ชัดเจน?","อธิบายถึงครั้งสุดท้ายที่คุณรู้สึกไม่แน่ใจว่าจะทดสอบโฆษณาหรือแคมเปญใดต่อไป","หากคุณสามารถมีผู้ช่วยคนเดียวสำหรับการทดสอบแคมเปญ คุณต้องการให้เขาทำอะไร?"
"2026/05/13 8:42:35 PM GMT+7","เจ้าของธุรกิจขนาดเล็ก (จัดการโฆษณาด้วยตนเอง) (Small business owner (self-managed ads))","","Meta Ads;โซเชียลมีเดียแบบทั่วไป (Organic social)","ยอดขาย (Sales)","กลุ่มเป้าหมาย (Audience)","ผลลัพธ์แคมเปญที่ผ่านมา (Past campaign results);โฆษณาของคู่แข่ง (Competitor ads);คำขอจากลูกค้า / เจ้านาย (Client / boss request);สัญชาตญาณ (Intuition);ข้อเสนอแนะจากเครื่องมือ AI (AI tool suggestion);การสนทนากับเอเจนซี่ / ทีม (Agency / team discussion);คำแนะนำจากแพลตฟอร์ม (Meta / Google) (Platform recommendation (Meta / Google));อื่น ๆ (Other)","ไม่รู้ว่าจะทดสอบกลุ่มเป้าหมายใด (Knowing which audience to test)","4","","","ค่าใช้จ่าย / การแสดงผล / การเข้าถึง (Spend / Impressions / Reach);โอกาสในการขาย / ต้นทุนต่อโอกาสในการขาย (Leads / Cost per lead);ยอดขาย / ROAS (Sales / ROAS);การจอง / ข้อความ (Bookings / Messages)","ผลประกอบการ","Notion / เอกสาร (Notion / document)","เปลี่ยนกลุ่มเป้าหมาย (Change the audience);เปลี่ยนข้อความ (Change the message);หยุดแคมเปญ (Stop the campaign);ขอคำแนะนำ (จากบุคคลหรือ AI) (Ask for advice (Person or AI));อื่น ๆ (Other)","เสมอ (Always)","ใช่ (Yes)","ข้อความโฆษณา / แนวคิดสร้างสรรค์ (Ad copy / Creative ideas);การวางแผน / กลยุทธ์แคมเปญ (Campaign planning / Strategy);แนวคิดกลุ่มเป้าหมาย / ข้อเสนอ (Audience / Offer ideas);การรายงาน (Reporting);อื่น ๆ (Other)","","","เหตุผล / ตรรกะ (กลุ่มเป้าหมาย, ข้อเสนอ, ชิ้นงานโฆษณา, หรือช่องทาง) (Reasoning / Logic (Audience, Offer, Creative, or Channel));เมตริกความสำเร็จ / ข้อมูลผลลัพธ์ที่ผ่านมา (Success metrics / Past result data);คะแนนความมั่นใจ (Confidence score);ตัวอย่างแคมเปญ (Example campaign);ความสามารถในการแก้ไขคำแนะนำ (Ability to edit the recommendation);อื่น ๆ (Other)","5","การเลือกสิ่งที่จะทดสอบต่อไป (Choosing what to test next);การอธิบายว่าทำไมการทดสอบจึงสมเหตุสมผล (Explaining why the test makes sense);การสร้างโครงสร้างแคมเปญ (Building campaign structure);การแนะนำมุมมองเชิงสร้างสรรค์/ข้อความ (Suggesting creative/message angles);การระบุเมตริกที่ต้องดู (Identifying metrics to watch);การบันทึกผลลัพธ์ / การเรียนรู้ว่าอะไรได้ผล (Logging results / Learning what worked);การแนะนำการทดสอบครั้งต่อไป (Recommending the next test)","","",""
"2026/05/13 9:05:46 PM GMT+7","เจ้าของธุรกิจขนาดเล็ก (จัดการโฆษณาด้วยตนเอง) (Small business owner (self-managed ads))","รายสัปดาห์ (Weekly)","Meta Ads","ยอดขาย (Sales)","ข้อความ (Message)","ผลลัพธ์แคมเปญที่ผ่านมา (Past campaign results)","ไม่รู้ว่าจะทดสอบข้อความใด (Knowing which message to test)","1","","","ยอดขาย / ROAS (Sales / ROAS)","","ประวัติการแชท (Chat history)","เปลี่ยนชิ้นงานโฆษณา (Change the creative)","เสมอ (Always)","ใช่ (Yes)","แนวคิดกลุ่มเป้าหมาย / ข้อเสนอ (Audience / Offer ideas)","","","ความสามารถในการแก้ไขคำแนะนำ (Ability to edit the recommendation)","3","การแนะนำมุมมองเชิงสร้างสรรค์/ข้อความ (Suggesting creative/message angles)","","",""
"2026/05/13 9:31:29 PM GMT+7","เจ้าของธุรกิจขนาดเล็ก (จัดการโฆษณาด้วยตนเอง) (Small business owner (self-managed ads))","รายสัปดาห์ (Weekly)","Meta Ads;TikTok Ads;อินฟลูเอนเซอร์ / ครีเอเตอร์ (Influencer / creator)","ยอดขาย (Sales)","แนวคิดสร้างสรรค์ (Creative idea)","ผลลัพธ์แคมเปญที่ผ่านมา (Past campaign results);โฆษณาของคู่แข่ง (Competitor ads);สัญชาตญาณ (Intuition)","ไม่รู้ว่าจะทดสอบมุมมองเชิงสร้างสรรค์ใด (Knowing which creative angle to test)","5","ข้อมูลในอดีต+เทรนด์","ลูกค้าไม่น่าจะชอบสิ่งนั้น","ค่าใช้จ่าย / การแสดงผล / การเข้าถึง (Spend / Impressions / Reach);ยอดขาย / ROAS (Sales / ROAS)","มียอดขาย","ความทรงจำ (Memory)","เปลี่ยนชิ้นงานโฆษณา (Change the creative);เปลี่ยนข้อความ (Change the message)","เสมอ (Always)","ใช่ (Yes)","ข้อความโฆษณา / แนวคิดสร้างสรรค์ (Ad copy / Creative ideas);การวางแผน / กลยุทธ์แคมเปญ (Campaign planning / Strategy)","ข้อมูลมหาศาลที่มันมีมากกว่าเรา","","เหตุผล / ตรรกะ (กลุ่มเป้าหมาย, ข้อเสนอ, ชิ้นงานโฆษณา, หรือช่องทาง) (Reasoning / Logic (Audience, Offer, Creative, or Channel))","5","การอธิบายว่าทำไมการทดสอบจึงสมเหตุสมผล (Explaining why the test makes sense);การแนะนำมุมมองเชิงสร้างสรรค์/ข้อความ (Suggesting creative/message angles)","","","คิดคอนเทนต์คมๆ "
"2026/05/13 10:18:46 PM GMT+7","เจ้าของธุรกิจขนาดเล็ก (จัดการโฆษณาด้วยตนเอง) (Small business owner (self-managed ads))","รายสัปดาห์ (Weekly)","Meta Ads","ยอดขาย (Sales)","งบประมาณ (Budget)","ผลลัพธ์แคมเปญที่ผ่านมา (Past campaign results)","ไม่รู้ว่าจะทดสอบกลุ่มเป้าหมายใด (Knowing which audience to test)","3","ยอดซื้อ","เพิ่ม อัดยอดงบประมาณ","ค่าใช้จ่าย / การแสดงผล / การเข้าถึง (Spend / Impressions / Reach);การคลิก / CTR / CPC (Clicks / CTR / CPC);ยอดขาย / ROAS (Sales / ROAS);การจอง / ข้อความ (Bookings / Messages)","ยอดจอง","สเปรดชีต (Spreadsheet)","หยุดแคมเปญ (Stop the campaign)","บ่อยครั้ง (Often)","ไม่ (No)","แนวคิดกลุ่มเป้าหมาย / ข้อเสนอ (Audience / Offer ideas)","การตอบกลับลูกค้า","ไม่มี","เหตุผล / ตรรกะ (กลุ่มเป้าหมาย, ข้อเสนอ, ชิ้นงานโฆษณา, หรือช่องทาง) (Reasoning / Logic (Audience, Offer, Creative, or Channel));เมตริกความสำเร็จ / ข้อมูลผลลัพธ์ที่ผ่านมา (Success metrics / Past result data);คะแนนความมั่นใจ (Confidence score)","3","การเลือกสิ่งที่จะทดสอบต่อไป (Choosing what to test next);การอธิบายว่าทำไมการทดสอบจึงสมเหตุสมผล (Explaining why the test makes sense);การสร้างโครงสร้างแคมเปญ (Building campaign structure)","","","ทดสอบแคมเปญทุกวัน"
"2026/05/13 10:19:42 PM GMT+7","เจ้าของธุรกิจขนาดเล็ก (จัดการโฆษณาด้วยตนเอง) (Small business owner (self-managed ads))","รายสัปดาห์ (Weekly)","Meta Ads","ยอดขาย (Sales)","ไม่มีกระบวนการที่แน่นอน (No fixed process)","ผลลัพธ์แคมเปญที่ผ่านมา (Past campaign results)","อื่น ๆ (Other)","3","ผลลัพธ์","ผลลัพธ์","ยอดขาย / ROAS (Sales / ROAS)","ผลลัพธ์","อื่น ๆ (Other)","อื่น ๆ (Other)","เสมอ (Always)","ใช่ (Yes)","การวางแผน / กลยุทธ์แคมเปญ (Campaign planning / Strategy);แนวคิดกลุ่มเป้าหมาย / ข้อเสนอ (Audience / Offer ideas)","แนวทางใหม่ใหม่ และผลลัพธ์","ผลลัพธ์ที่เป็นไปไม่ได้","เหตุผล / ตรรกะ (กลุ่มเป้าหมาย, ข้อเสนอ, ชิ้นงานโฆษณา, หรือช่องทาง) (Reasoning / Logic (Audience, Offer, Creative, or Channel))","3","การเลือกสิ่งที่จะทดสอบต่อไป (Choosing what to test next);การอธิบายว่าทำไมการทดสอบจึงสมเหตุสมผล (Explaining why the test makes sense);การสร้างโครงสร้างแคมเปญ (Building campaign structure);การแนะนำมุมมองเชิงสร้างสรรค์/ข้อความ (Suggesting creative/message angles);การระบุเมตริกที่ต้องดู (Identifying metrics to watch);การบันทึกผลลัพธ์ / การเรียนรู้ว่าอะไรได้ผล (Logging results / Learning what worked);การแนะนำการทดสอบครั้งต่อไป (Recommending the next test)","การแนะนำแบบเดิม","ปัจจัยเหมือนกันแตกต่างกัน","เงินทุน"
"2026/05/13 10:37:12 PM GMT+7","เจ้าของธุรกิจขนาดเล็ก (จัดการโฆษณาด้วยตนเอง) (Small business owner (self-managed ads))","รายสัปดาห์ (Weekly)","Meta Ads;Google Ads;โซเชียลมีเดียแบบทั่วไป (Organic social)","ข้อความ (Messages)","กลุ่มเป้าหมาย (Audience)","ผลลัพธ์แคมเปญที่ผ่านมา (Past campaign results);คำแนะนำจากแพลตฟอร์ม (Meta / Google) (Platform recommendation (Meta / Google));อื่น ๆ (Other)","ไม่รู้ว่าจะทดสอบกลุ่มเป้าหมายใด (Knowing which audience to test)","5","ดูจากแคมเปญที่แล้ว","ไม่เคยปฏิเสธ","ค่าใช้จ่าย / การแสดงผล / การเข้าถึง (Spend / Impressions / Reach)","ยอดขาย หักลบ ต้นทุน บวก กำไร","ฉันไม่บันทึกการเรียนรู้ (I do not save learnings)","หยุดแคมเปญ (Stop the campaign)","เสมอ (Always)","ใช่ (Yes)","ข้อความโฆษณา / แนวคิดสร้างสรรค์ (Ad copy / Creative ideas);การวางแผน / กลยุทธ์แคมเปญ (Campaign planning / Strategy);แนวคิดกลุ่มเป้าหมาย / ข้อเสนอ (Audience / Offer ideas);การรายงาน (Reporting)","หลากหลายข้อมูล","ไม่แน่ใจ","เหตุผล / ตรรกะ (กลุ่มเป้าหมาย, ข้อเสนอ, ชิ้นงานโฆษณา, หรือช่องทาง) (Reasoning / Logic (Audience, Offer, Creative, or Channel))","5","การแนะนำมุมมองเชิงสร้างสรรค์/ข้อความ (Suggesting creative/message angles)","ไม่มี","ผลลัพธ์","คิดทุกอย่างและสรุปผล"
"2026/05/13 11:27:03 PM GMT+7","เจ้าของธุรกิจขนาดเล็ก (จัดการโฆษณาด้วยตนเอง) (Small business owner (self-managed ads))","รายสัปดาห์ (Weekly)","Meta Ads;Google Ads;TikTok Ads","ยอดขาย (Sales)","ไม่มีกระบวนการที่แน่นอน (No fixed process)","ผลลัพธ์แคมเปญที่ผ่านมา (Past campaign results);สัญชาตญาณ (Intuition);อื่น ๆ (Other)","ข้อมูลไม่เพียงพอ (Not enough data)","4","","","ค่าใช้จ่าย / การแสดงผล / การเข้าถึง (Spend / Impressions / Reach);การคลิก / CTR / CPC (Clicks / CTR / CPC);โอกาสในการขาย / ต้นทุนต่อโอกาสในการขาย (Leads / Cost per lead);ยอดขาย / ROAS (Sales / ROAS)","","ฉันไม่บันทึกการเรียนรู้ (I do not save learnings)","อื่น ๆ (Other)","เสมอ (Always)","ไม่ (No)","ข้อความโฆษณา / แนวคิดสร้างสรรค์ (Ad copy / Creative ideas);การวางแผน / กลยุทธ์แคมเปญ (Campaign planning / Strategy);แนวคิดกลุ่มเป้าหมาย / ข้อเสนอ (Audience / Offer ideas)","","","ความสามารถในการแก้ไขคำแนะนำ (Ability to edit the recommendation)","4","การอธิบายว่าทำไมการทดสอบจึงสมเหตุสมผล (Explaining why the test makes sense)","","",""
"2026/05/14 12:31:49 AM GMT+7","เจ้าของธุรกิจขนาดเล็ก (จัดการโฆษณาด้วยตนเอง) (Small business owner (self-managed ads))","รายสัปดาห์ (Weekly)","Meta Ads","การสร้างโอกาสในการขาย (Leads)","งบประมาณ (Budget)","โฆษณาของคู่แข่ง (Competitor ads)","ไม่รู้ว่าจะใช้ช่องทางใด (Knowing which channel to use)","1","","","ค่าใช้จ่าย / การแสดงผล / การเข้าถึง (Spend / Impressions / Reach)","","ฉันไม่บันทึกการเรียนรู้ (I do not save learnings)","หยุดแคมเปญ (Stop the campaign)","ไม่บ่อยนัก (Rarely)","ไม่ (No)","แนวคิดกลุ่มเป้าหมาย / ข้อเสนอ (Audience / Offer ideas)","","","ตัวอย่างแคมเปญ (Example campaign)","1","การอธิบายว่าทำไมการทดสอบจึงสมเหตุสมผล (Explaining why the test makes sense)","","",""
"2026/05/14 8:09:28 AM GMT+7","เจ้าของธุรกิจขนาดเล็ก (จัดการโฆษณาด้วยตนเอง) (Small business owner (self-managed ads))","รายเดือน (Monthly)","Meta Ads","ข้อความ (Messages)","แนวคิดสร้างสรรค์ (Creative idea)","ผลลัพธ์แคมเปญที่ผ่านมา (Past campaign results)","อื่น ๆ (Other)","4","Sale","No sale","การคลิก / CTR / CPC (Clicks / CTR / CPC);ยอดขาย / ROAS (Sales / ROAS)","","ฉันไม่บันทึกการเรียนรู้ (I do not save learnings)","อื่น ๆ (Other)","เสมอ (Always)","ไม่ (No)","ข้อความโฆษณา / แนวคิดสร้างสรรค์ (Ad copy / Creative ideas)","","","อื่น ๆ (Other)","5","การแนะนำมุมมองเชิงสร้างสรรค์/ข้อความ (Suggesting creative/message angles)","","มั่นใจทุกครั้ง","เข้าใจ creative ลค"
"2026/05/14 12:22:44 PM GMT+7","เจ้าของ/นักวางแผนกลยุทธ์เอเจนซี่ (Agency owner / strategist)","รายสัปดาห์ (Weekly)","Meta Ads;Google Ads;TikTok Ads","ข้อความ (Messages)","กลุ่มเป้าหมาย (Audience)","ผลลัพธ์แคมเปญที่ผ่านมา (Past campaign results);โฆษณาของคู่แข่ง (Competitor ads);คำขอจากลูกค้า / เจ้านาย (Client / boss request);ข้อเสนอแนะจากเครื่องมือ AI (AI tool suggestion)","ไม่รู้ว่าจะทดสอบมุมมองเชิงสร้างสรรค์ใด (Knowing which creative angle to test)","3","มีหลักเหตุผล หรือหลักฐานเบื้องต้นรองรับ","หลักเหตุผลง่าย ๆ ไม่ผ่าน/ไม่สามารถเข้าใจได้","การจอง / ข้อความ (Bookings / Messages)","ต้นทุนต่อข้อความถูก","บันทึกในแพลตฟอร์มโฆษณา (Ad platform notes)","เปลี่ยนชิ้นงานโฆษณา (Change the creative)","บ่อยครั้ง (Often)","ใช่ (Yes)","ข้อความโฆษณา / แนวคิดสร้างสรรค์ (Ad copy / Creative ideas);การวางแผน / กลยุทธ์แคมเปญ (Campaign planning / Strategy);แนวคิดกลุ่มเป้าหมาย / ข้อเสนอ (Audience / Offer ideas);การรายงาน (Reporting)","มีเหตุผล","มองภาพรวมไม่ครบ และให้ข้อมูลผิดในบางครั้ง","เหตุผล / ตรรกะ (กลุ่มเป้าหมาย, ข้อเสนอ, ชิ้นงานโฆษณา, หรือช่องทาง) (Reasoning / Logic (Audience, Offer, Creative, or Channel));เมตริกความสำเร็จ / ข้อมูลผลลัพธ์ที่ผ่านมา (Success metrics / Past result data);ตัวอย่างแคมเปญ (Example campaign)","5","การเลือกสิ่งที่จะทดสอบต่อไป (Choosing what to test next);การอธิบายว่าทำไมการทดสอบจึงสมเหตุสมผล (Explaining why the test makes sense);การสร้างโครงสร้างแคมเปญ (Building campaign structure);การแนะนำมุมมองเชิงสร้างสรรค์/ข้อความ (Suggesting creative/message angles);การระบุเมตริกที่ต้องดู (Identifying metrics to watch);การบันทึกผลลัพธ์ / การเรียนรู้ว่าอะไรได้ผล (Logging results / Learning what worked);การแนะนำการทดสอบครั้งต่อไป (Recommending the next test)","","","feedback ภาพรวมทั้งหมดจากข้อมูลในอดีตสำหรับอนาคต"
"2026/05/14 12:42:24 PM GMT+7","นักการตลาดที่เน้นประสิทธิภาพ (Performance marketer)","รายสัปดาห์ (Weekly)","Meta Ads","การสร้างโอกาสในการขาย (Leads)","กลุ่มเป้าหมาย (Audience)","ผลลัพธ์แคมเปญที่ผ่านมา (Past campaign results);โฆษณาของคู่แข่ง (Competitor ads);คำขอจากลูกค้า / เจ้านาย (Client / boss request);ข้อเสนอแนะจากเครื่องมือ AI (AI tool suggestion)","ไม่รู้ว่าจะทดสอบมุมมองเชิงสร้างสรรค์ใด (Knowing which creative angle to test)","3","สินค้าขายดีอยู่แล้ว + กลุ่มลูกเคยทดสอบแล้วได้ผลดี","เคยทดสอบแล้วไม่ได้ผล","ค่าใช้จ่าย / การแสดงผล / การเข้าถึง (Spend / Impressions / Reach);การคลิก / CTR / CPC (Clicks / CTR / CPC);โอกาสในการขาย / ต้นทุนต่อโอกาสในการขาย (Leads / Cost per lead);อัตราการแปลง / คุณภาพโอกาสในการขาย (Conversion rate / Lead quality)","ยอดขาย/ยอดจอง","บันทึกในแพลตฟอร์มโฆษณา (Ad platform notes)","เปลี่ยนชิ้นงานโฆษณา (Change the creative);เปลี่ยนข้อความ (Change the message)","เสมอ (Always)","ใช่ (Yes)","ข้อความโฆษณา / แนวคิดสร้างสรรค์ (Ad copy / Creative ideas);การวางแผน / กลยุทธ์แคมเปญ (Campaign planning / Strategy);แนวคิดกลุ่มเป้าหมาย / ข้อเสนอ (Audience / Offer ideas);การรายงาน (Reporting)","การช่วย research ข้อมูลกลุ่มลูกค้าเป้าหมาย","ความคิดสร้างสรรค์น้อย","เหตุผล / ตรรกะ (กลุ่มเป้าหมาย, ข้อเสนอ, ชิ้นงานโฆษณา, หรือช่องทาง) (Reasoning / Logic (Audience, Offer, Creative, or Channel));เมตริกความสำเร็จ / ข้อมูลผลลัพธ์ที่ผ่านมา (Success metrics / Past result data);คะแนนความมั่นใจ (Confidence score);ตัวอย่างแคมเปญ (Example campaign)","5","การเลือกสิ่งที่จะทดสอบต่อไป (Choosing what to test next);การอธิบายว่าทำไมการทดสอบจึงสมเหตุสมผล (Explaining why the test makes sense);การสร้างโครงสร้างแคมเปญ (Building campaign structure);การแนะนำมุมมองเชิงสร้างสรรค์/ข้อความ (Suggesting creative/message angles);การระบุเมตริกที่ต้องดู (Identifying metrics to watch);การบันทึกผลลัพธ์ / การเรียนรู้ว่าอะไรได้ผล (Logging results / Learning what worked);การแนะนำการทดสอบครั้งต่อไป (Recommending the next test)","","ไม่มีไอเดียว่าทำไมลูกค้าไม่ซื้อ ","หาข้อมูล/คุยกับลูกค้าว่าอะไรทำไมให้ซื้อ เช่น ความกังวล คู่แข่ง พนักงานขาย เศรษฐกิจ"
"2026/05/14 1:22:05 PM GMT+7","เจ้าของธุรกิจขนาดเล็ก (จัดการโฆษณาด้วยตนเอง) (Small business owner (self-managed ads))","รายสัปดาห์ (Weekly)","Meta Ads;Google Ads","การจอง (Bookings)","กลุ่มเป้าหมาย (Audience)","ผลลัพธ์แคมเปญที่ผ่านมา (Past campaign results)","ไม่รู้ว่าจะทดสอบมุมมองเชิงสร้างสรรค์ใด (Knowing which creative angle to test)","3","Something i have seen do well for others in a similar industry. 
","Doesnt fit with branding and values. 
","ค่าใช้จ่าย / การแสดงผล / การเข้าถึง (Spend / Impressions / Reach);การคลิก / CTR / CPC (Clicks / CTR / CPC)","Bookings","สเปรดชีต (Spreadsheet)","เปลี่ยนชิ้นงานโฆษณา (Change the creative)","ไม่บ่อยนัก (Rarely)","ไม่ (No)","อื่น ๆ (Other)","I have not used yet. 
","I have not used yet. 
","เมตริกความสำเร็จ / ข้อมูลผลลัพธ์ที่ผ่านมา (Success metrics / Past result data)","4","การระบุเมตริกที่ต้องดู (Identifying metrics to watch)","All sounds pretty good!
","","Estimate clicks
"